block,experiment,label_fraction,seed,n_labeled,linear_accuracy,linear_f1_macro,linear_auroc,linear_auprc,linear_sensitivity,linear_specificity,linear_ece,linear_brier_score,mahal_accuracy,mahal_f1_macro,mahal_auroc,mahal_auprc,mahal_sensitivity,mahal_specificity,mahal_ece,mahal_brier_score
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.1,1,13290,0.826527370910246,0.8246079010338068,0.9045834882617174,0.9362929367960862,0.805717440647813,0.8555518617021277,0.0134248122234034,0.2454466584416324,0.8242332262732502,0.8228882818054262,0.9027243170615432,0.9313718206025688,0.8001963069750322,0.8610372340425532,0.2820196438716847,0.4389873881425777
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.1,2,13290,0.8238802809444817,0.8218820086989088,0.9043622615421716,0.9361471029170136,0.793325562848905,0.864029255319149,0.0177609601405058,0.2452132130558092,0.8237743973458511,0.822280127046508,0.9013565786616342,0.9311692299458768,0.7925894116925342,0.8656083776595744,0.2809364304333122,0.4384558281501438
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.25,0,33225,0.825539123989694,0.8235663381464771,0.9065670236504874,0.9377272305532864,0.7849825164100362,0.8735039893617021,0.0103243069355474,0.2434121201985495,0.8228567394910529,0.8213336227644175,0.9036659199784768,0.9328579578436658,0.8038157168271886,0.8537234042553191,0.2809994675529195,0.4393295911282582
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.25,1,33225,0.8278332686266897,0.8258982350929798,0.9066166989657338,0.9374185002758124,0.7977424697871296,0.866688829787234,0.0101204981123376,0.2428729895982415,0.8232802738855751,0.8218935997335743,0.9041595528093824,0.9330653683274054,0.8091528127108766,0.8496509308510638,0.2817787001328368,0.4397553134027367
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.25,2,33225,0.824550877069142,0.8224720134194359,0.9049916538536338,0.937010589736591,0.7751058217287283,0.8838929521276596,0.0128476425049669,0.2441944139097022,0.824056753608866,0.8224850520045569,0.902465590399101,0.93302138341608,0.7779890804245139,0.8819813829787234,0.2816884198004896,0.4388776827472063
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.5,0,66450,0.824550877069142,0.8225669162302522,0.9076716633687792,0.9384366451189984,0.7941844058646709,0.8656914893617021,0.0097043429597009,0.2415968776742918,0.8236332192143437,0.8221400729124945,0.9044635113879907,0.9338523551957504,0.7860253972148948,0.8734208776595744,0.2819857049955788,0.4394997152096392
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.5,1,66450,0.8273391451664137,0.8254273539281065,0.9073989207521532,0.938124816923854,0.7759646647444942,0.8858876329787234,0.0077016449882736,0.2414649655273993,0.8236332192143437,0.8222020442432214,0.9046051036264908,0.9337045890774612,0.7971903564198516,0.8620345744680851,0.2823416748964636,0.4399390137276662
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.5,2,66450,0.8243744044047577,0.8223790514607235,0.9068655701027348,0.9379626725628722,0.7854732838476167,0.874750664893617,0.0123118730471522,0.2424451491353551,0.8232096848198214,0.8217338094442532,0.9037969224982282,0.9336529817829192,0.7869455861603583,0.8726728723404256,0.2811448714070534,0.4390771294129248
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,1.0,0,132900,0.82603324744997,0.8240633920454263,0.9077671492872778,0.9385049688066298,0.7905649960125146,0.8707613031914894,0.0091659596230636,0.2413346379830044,0.824303815339004,0.8228290309487076,0.9044981484868438,0.9339132595162576,0.7923440279737439,0.867935505319149,0.2824784345828326,0.4392820150552983
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,1.0,1,132900,0.82603324744997,0.8240633920454263,0.9077671492872778,0.9385049688066298,0.7905649960125146,0.8707613031914894,0.0091659596230636,0.2413346379830044,0.824303815339004,0.8228290309487076,0.9044981484868438,0.9339132595162576,0.7923440279737439,0.867935505319149,0.2824784345828326,0.4392820150552983
loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,1.0,2,132900,0.82603324744997,0.8240633920454263,0.9077671492872778,0.9385049688066298,0.7905649960125146,0.8707613031914894,0.0091659596230636,0.2413346379830044,0.824303815339004,0.8228290309487076,0.9044981484868438,0.9339132595162576,0.7923440279737439,0.867935505319149,0.2824784345828326,0.4392820150552983
loo_ablation,resnet1d_hybrid_loo_heart_rate_resample_s42,0.01,0,1329,0.8013976635019235,0.7980198592562071,0.8851009346525538,0.9234112418363531,0.7347401999877308,0.8770777925531915,0.0435682100715681,0.2758264042879411,0.8003741220484947,0.7982384706911902,0.8820174935627564,0.9155564013608216,0.7679283479541132,0.840591755319149,0.2481354196931318,0.4293770315837518
loo_ablation,resnet1d_hybrid_loo_heart_rate_resample_s42,0.01,1,1329,0.8102918857868916,0.8079571645335928,0.8958798917260657,0.93184608830564,0.7304459849089013,0.9055851063829788,0.02850188944001,0.2588086921815039,0.8096565841951082,0.8081021752404425,0.8891906463038425,0.9225610703441464,0.7743696705723575,0.8573803191489362,0.2617763674458121,0.4337306623535761
loo_ablation,resnet1d_hybrid_loo_heart_rate_resample_s42,0.01,2,1329,0.8130095648184096,0.8114079726013255,0.8906844237708298,0.927400096804252,0.7654745107662106,0.8764960106382979,0.0459432505330667,0.2669949276081776,0.8138919281403311,0.8126853161935161,0.888637559110719,0.9204453203819828,0.7720998711735476,0.8695146276595744,0.2602807689812512,0.4272174743626992
